Row_ID,Year,Date,Parish,Very_good,Good,Fair,Poor,Very_poor,Total_VeryGood_Good_Fair
Orleans1986,1986,01/01/1986 12:00:00 AM,Orleans,15,45,21,6,,81
Jefferson1986,1986,01/01/1986 12:00:00 AM,Jefferson,3,18,28,29,,49
Orleans1988,1988,01/01/1988 12:00:00 AM,Orleans,13,47,24,8,,84
Jefferson1988,1988,01/01/1988 12:00:00 AM,Jefferson,2,25,26,22,,53
Orleans1990,1990,01/01/1990 12:00:00 AM,Orleans,10,49,26,6,,85
Jefferson1990,1990,01/01/1990 12:00:00 AM,Jefferson,5,24,27,25,,56
Orleans1992,1992,01/01/1992 12:00:00 AM,Orleans,4,37,29,17,,70
Jefferson1992,1992,01/01/1992 12:00:00 AM,Jefferson,5,26,23,24,,54
Orleans1994,1994,01/01/1994 12:00:00 AM,Orleans,5,40,30,13,,75
Jefferson1994,1994,01/01/1994 12:00:00 AM,Jefferson,3,30,23,24,,56
Orleans1996,1996,01/01/1996 12:00:00 AM,Orleans,3,38,32,17,,73
Jefferson1996,1996,01/01/1996 12:00:00 AM,Jefferson,6,28,24,22,,58
Orleans1998,1998,01/01/1998 12:00:00 AM,Orleans,10,40,27,10,,77
Jefferson1998,1998,01/01/1998 12:00:00 AM,Jefferson,4,30,23,18,,57
Orleans2000,2000,01/01/2000 12:00:00 AM,Orleans,5,30,32,27,,67
Jefferson2000,2000,01/01/2000 12:00:00 AM,Jefferson,4,27,24,23,,55
Orleans2002,2002,01/01/2002 12:00:00 AM,Orleans,6,37,27,17,,70
Jefferson2002,2002,01/01/2002 12:00:00 AM,Jefferson,7,32,22,20,,61
Orleans2004,2004,01/01/2004 12:00:00 AM,Orleans,8,39,28,12,,75
Jefferson2004,2004,01/01/2004 12:00:00 AM,Jefferson,8,28,25,15,,61
Orleans2006,2006,01/01/2006 12:00:00 AM,Orleans,2,13,34,21,12,49
Jefferson2006,2006,01/01/2006 12:00:00 AM,Jefferson,7,25,16,16,6,48
Orleans2007,2007,01/01/2007 12:00:00 AM,Orleans,4,9,25,27,11,38
Jefferson2007,2007,01/01/2007 12:00:00 AM,Jefferson,3,21,15,13,7,39
Orleans2008,2008,01/01/2008 12:00:00 AM,Orleans,1,22,33,20,8,56
Jefferson2008,2008,01/01/2008 12:00:00 AM,Jefferson,4,22,18,19,5,44
Orleans2012,2012,01/01/2012 12:00:00 AM,Orleans,11,36,27,10,6,74
Jefferson2012,2012,01/01/2012 12:00:00 AM,Jefferson,5,33,22,10,4,60
Orleans2013,2013,01/01/2013 12:00:00 AM,Orleans,7,35,30,14,5,72
Jefferson2013,2013,01/01/2013 12:00:00 AM,Jefferson,11,28,20,11,3,59
